source,target,peso
Inteligencia Artificial,render-token,0.0
Inteligencia Artificial,fetch-ai,0.0
Inteligencia Artificial,singularitynet,0.0
Videojuegos,immutable-x,0.0
Videojuegos,gala,0.0
Videojuegos,axie-infinity,0.0
RWA,ondo-finance,0.0
Memes,dogecoin,0.0
Memes,shiba-inu,0.0
Memes,pepe,0.0
Otros,bitcoin,0.0
Otros,ethereum,0.0
Otros,tether,0.0
Otros,ripple,0.0
Otros,binancecoin,0.0
Otros,solana,0.0
Otros,usd-coin,0.0
Otros,staked-ether,0.0
Otros,tron,0.0
Otros,cardano,0.0
Otros,wrapped-steth,0.0
Otros,wrapped-beacon-eth,0.0
Otros,chainlink,0.0
Otros,ethena-usde,0.0
Otros,wrapped-bitcoin,0.0
Otros,hyperliquid,0.0
Otros,figure-heloc,0.0
Otros,avalanche-2,0.0
Otros,sui,0.0
Otros,stellar,0.0
Otros,bitcoin-cash,0.0
Otros,wrapped-eeth,0.0
Otros,weth,0.0
Otros,hedera-hashgraph,0.0
Otros,leo-token,0.0
Otros,litecoin,0.0
Otros,binance-bridged-usdt-bnb-smart-chain,0.0
Otros,usds,0.0
Otros,usdt0,0.0
Otros,coinbase-wrapped-btc,0.0
Otros,the-open-network,0.0
Otros,crypto-com-chain,0.0
Otros,ethena-staked-usde,0.0
Otros,mantle,0.0
Otros,polkadot,0.0
Otros,whitebit,0.0
Otros,world-liberty-financial,0.0
Otros,monero,0.0
Otros,uniswap,0.0
Otros,dai,0.0
Otros,aave,0.0
Otros,okb,0.0
Otros,ethena,0.0
Otros,memecore,0.0
Otros,bitget-token,0.0
Otros,near,0.0
Otros,aster-2,0.0
Otros,jito-staked-sol,0.0
Otros,story-2,0.0
Otros,aptos,0.0
Otros,myx-finance,0.0
Otros,bittensor,0.0
Otros,ethereum-classic,0.0
Otros,worldcoin-wld,0.0
Otros,usd1-wlfi,0.0
Otros,binance-staked-sol,0.0
Otros,binance-peg-weth,0.0
Otros,plasma,0.0
Otros,polygon-ecosystem-token,0.0
Otros,paypal-usd,0.0
Otros,internet-computer,0.0
Otros,arbitrum,0.0
Otros,pi-network,0.0
Otros,jupiter-perpetuals-liquidity-provider-token,0.0
Otros,susds,0.0
Otros,blackrock-usd-institutional-digital-liquidity-fund,0.0
Otros,kaspa,0.0
Otros,pump-fun,0.0
Otros,falcon-finance,0.0
Otros,gatechain-token,0.0
Otros,cosmos,0.0
Otros,hash-2,0.0
Otros,kucoin-shares,0.0
Otros,flare-networks,0.0
Otros,vechain,0.0
Otros,kinetic-staked-hype,0.0
Otros,kelp-dao-restaked-eth,0.0
Otros,rocket-pool-eth,0.0
Otros,usdtb,0.0
Otros,algorand,0.0
Otros,pudgy-penguins,0.0
Otros,sei-network,0.0
Otros,bfusd,0.0
Otros,sky,0.0
Otros,stakewise-v3-oseth,0.0
Otros,official-trump,0.0
Otros,filecoin,0.0
Otros,quant-network,0.0
Otros,liquid-staked-ethereum,0.0
Otros,bonk,0.0
Otros,tether-gold,0.0
Otros,jupiter-exchange-solana,0.0
Otros,renzo-restaked-eth,0.0
Otros,xdce-crowd-sale,0.0
Otros,lombard-staked-btc,0.0
Otros,wbnb,0.0
Otros,nexo,0.0
Otros,optimism,0.0
Otros,injective-protocol,0.0
Otros,jupiter-staked-sol,0.0
Otros,syrupusdc,0.0
Otros,celestia,0.0
Otros,pax-gold,0.0
Otros,solv-btc,0.0
Otros,first-digital-usd,0.0
Otros,zcash,0.0
Otros,mantle-staked-ether,0.0
Otros,blockstack,0.0
Otros,binance-bridged-usdc-bnb-smart-chain,0.0
Otros,lido-dao,0.0
Otros,curve-dao-token,0.0
Otros,pancakeswap-token,0.0
Otros,aerodrome-finance,0.0
Otros,msol,0.0
Otros,fasttoken,0.0
Otros,spx6900,0.0
Otros,arbitrum-bridged-wbtc-arbitrum-one,0.0
Otros,sonic-3,0.0
Otros,saros-finance,0.0
Otros,kaia,0.0
Otros,clbtc,0.0
Otros,the-graph,0.0
Otros,pyth-network,0.0
Otros,ether-fi,0.0
Otros,pendle,0.0
Otros,cgeth-hashkey-cloud,0.0
