Proyecto,tipo,Proyecto,Nombre,Symbol,Valor_USD,MarketCap,Ranking,Volumen24h,Pct_Volumen,Circulating,Total_Supply,Max_Supply,Comunidad,Difusion,Calificacion,Halving,Multichain,Listado_CEX,CEX_list,Contratos,Billeteras_Soportadas,Exploradores,Categoria
Inteligencia Artificial,Categoria,,,,,,,,,,,,,,,,,,,,,,
Videojuegos,Categoria,,,,,,,,,,,,,,,,,,,,,,
RWA,Categoria,,,,,,,,,,,,,,,,,,,,,,
Memes,Categoria,,,,,,,,,,,,,,,,,,,,,,
Otros,Categoria,,,,,,,,,,,,,,,,,,,,,,
Binance,Exchange,,,,,,,,,,,,,,,,,,,,,,
Coinbase,Exchange,,,,,,,,,,,,,,,,,,,,,,
Kraken,Exchange,,,,,,,,,,,,,,,,,,,,,,
OKX,Exchange,,,,,,,,,,,,,,,,,,,,,,
KuCoin,Exchange,,,,,,,,,,,,,,,,,,,,,,
bitcoin,Proyecto,bitcoin,Bitcoin,btc,112106.0,2233801152914.0,1.0,40999289831.0,0.018354046320334425,19927425.0,19927425.0,21000000.0,0.0,0.0,,1.0,0.0,1.0,"['Binance', 'KuCoin', 'Kraken', 'OKX']",[],0.0,"['https://mempool.space/', 'https://platform.arkhamintelligence.com/explorer/token/bitcoin', 'https://blockchair.com/bitcoin/', 'https://btc.com/', 'https://btc.tokenview.io/', 'https://www.oklink.com/btc', 'https://3xpl.com/bitcoin']",Otros
ethereum,Proyecto,ethereum,Ethereum,eth,4113.78,496509312814.0,2.0,26002552928.0,0.052370725496826594,120703250.5285526,120703250.5285526,,,,,0.0,,0.0,[],[],,,Otros
tether,Proyecto,tether,Tether,usdt,1.0,174405975789.0,3.0,80480468714.0,0.46145476581242234,174372128681.1057,174372128681.1057,,,,,0.0,,0.0,[],[],,,Otros
ripple,Proyecto,ripple,XRP,xrp,2.89,172662543097.0,4.0,3851129311.0,0.022304370374276697,59826504399.0,99985796373.0,100000000000.0,,,,0.0,,0.0,[],[],,,Otros
binancecoin,Proyecto,binancecoin,BNB,bnb,1007.59,140311728022.0,5.0,1563697518.0,0.011144453425552724,139185608.75,139185608.75,200000000.0,,,,0.0,,0.0,[],[],,,Otros
solana,Proyecto,solana,Solana,sol,208.53,113520110800.0,6.0,5232882471.0,0.04609652363905198,543632443.0655935,610741793.7469592,,,,,0.0,,0.0,[],[],,,Otros
